language,html_url,total-commits,total-other-commits
Clojure,https://github.com/ztellman/penumbra,509.0,6.0
Python,https://github.com/ninja-ide/ninja-ide,3223.0,463.0
Python,https://github.com/jython/frozen-mirror,8323.0,3145.0
Clojure,https://github.com/puppetlabs/puppetserver,9945.0,4769.0
Python,https://github.com/reubano/meza,672.0,4.0
Python,https://github.com/bradleyg/django-s3direct,1281.0,222.0
Clojure,https://github.com/taoensso/faraday,547.0,70.0
Clojure,https://github.com/maitria/avi,1593.0,12.0
Clojure,https://github.com/clojure/tools.reader,604.0,35.0
Clojure,https://github.com/weavejester/lein-ring,337.0,53.0
Clojure,https://github.com/lilactown/helix,454.0,46.0
Python,https://github.com/IronLanguages/main,2216.0,941.0
Clojure,https://github.com/r0man/sqlingvo,946.0,16.0
Clojure,https://github.com/jepsen-io/jepsen,3116.0,556.0
Python,https://github.com/reingart/pyfpdf,424.0,24.0
Clojure,https://github.com/LauJensen/clojureql,305.0,42.0
Clojure,https://github.com/day8/re-frame-template,644.0,97.0
Clojure,https://github.com/reagent-project/reagent,1550.0,163.0
Python,https://github.com/yadayada/acd_cli,292.0,26.0
Clojure,https://github.com/clj-python/libpython-clj,661.0,23.0
Clojure,https://github.com/yogthos/yuggoth,512.0,6.0
Clojure,https://github.com/arthuredelstein/clooj,658.0,20.0
Python,https://github.com/pithos/pithos,806.0,142.0
Clojure,https://github.com/clojure/core.typed,4683.0,71.0
Python,https://github.com/cvandeplas/pystemon,261.0,48.0
Python,https://github.com/IntelPython/sdc,3103.0,576.0
Python,https://github.com/vivisect/vivisect,1881.0,315.0
Clojure,https://github.com/tomekw/hikari-cp,342.0,115.0
Clojure,https://github.com/sunng87/diehard,387.0,22.0
Python,https://github.com/home-assistant/supervisor,4131.0,409.0
Python,https://github.com/thu-ml/tianshou,505.0,163.0
Clojure,https://github.com/weavejester/ragtime,281.0,30.0
Clojure,https://github.com/lvh/caesium,691.0,35.0
Python,https://github.com/areski/python-nvd3,1456.0,182.0
Python,https://github.com/castorini/hedwig,269.0,123.0
Python,https://github.com/marticliment/WingetUI,2890.0,183.0
Clojure,https://github.com/sunng87/slacker,759.0,29.0
Python,https://github.com/bear/python-twitter,1104.0,408.0
Clojure,https://github.com/clj-commons/manifold,466.0,96.0
Python,https://github.com/gitless-vcs/gitless,722.0,55.0
Python,https://github.com/brettcannon/caniusepython3,593.0,125.0
Python,https://github.com/okfn-brasil/serenata-de-amor,2364.0,791.0
Clojure,https://github.com/originrose/cortex,1045.0,202.0
Python,https://github.com/l3uddz/cloudplow,413.0,19.0
Python,https://github.com/clockworkpi/launcher,846.0,49.0
Clojure,https://github.com/hoplon/hoplon,734.0,89.0
Python,https://github.com/RDFLib/rdflib,4923.0,1852.0
Python,https://github.com/codespell-project/codespell,4924.0,1968.0
Clojure,https://github.com/technomancy/slamhound,357.0,27.0
Clojure,https://github.com/replikativ/datahike,1554.0,427.0
Clojure,https://github.com/arichiardi/replumb,439.0,10.0
Clojure,https://github.com/oakes/Nightweb,575.0,3.0
