html_url,language,n-contributors,right.html_url,right.language,size,owner,stargazers_count
https://github.com/jonase/eastwood,Clojure,45,https://github.com/jonase/eastwood,Clojure,3648,jonase,1080
https://github.com/clojure-lsp/clojure-lsp,Clojure,106,https://github.com/clojure-lsp/clojure-lsp,Clojure,31501,clojure-lsp,1079
https://github.com/4clojure/4clojure,Clojure,31,https://github.com/4clojure/4clojure,Clojure,3466,4clojure,1068
https://github.com/weavejester/cljfmt,Clojure,53,https://github.com/weavejester/cljfmt,Clojure,580,weavejester,1061
https://github.com/yqrashawn/GokuRakuJoudo,Clojure,34,https://github.com/yqrashawn/GokuRakuJoudo,Clojure,837,yqrashawn,1017
https://github.com/zk/clojuredocs,Clojure,37,https://github.com/zk/clojuredocs,Clojure,11656,zk,1008
https://github.com/hoplon/hoplon,Clojure,38,https://github.com/hoplon/hoplon,Clojure,2010,hoplon,1007
https://github.com/mcohen01/amazonica,Clojure,121,https://github.com/mcohen01/amazonica,Clojure,1373,mcohen01,996
https://github.com/clj-commons/manifold,Clojure,46,https://github.com/clj-commons/manifold,Clojure,1605,clj-commons,993
https://github.com/juxt/bidi,Clojure,55,https://github.com/juxt/bidi,Clojure,730,juxt,984
https://github.com/clj-python/libpython-clj,Clojure,24,https://github.com/clj-python/libpython-clj,Clojure,2484,clj-python,980
https://github.com/juji-io/datalevin,Clojure,77,https://github.com/juji-io/datalevin,Clojure,10172,juji-io,974
https://github.com/yogthos/Selmer,Clojure,80,https://github.com/yogthos/Selmer,Clojure,1296,yogthos,946
https://github.com/funcool/cats,Clojure,53,https://github.com/funcool/cats,Clojure,1632,funcool,936
https://github.com/witch-house/pronoun.is,Clojure,24,https://github.com/witch-house/pronoun.is,Clojure,152,witch-house,928
https://github.com/braidchat/braid,Clojure,25,https://github.com/braidchat/braid,Clojure,6255,braidchat,905
https://github.com/puniverse/pulsar,Clojure,23,https://github.com/puniverse/pulsar,Clojure,4023,puniverse,902
https://github.com/noprompt/meander,Clojure,30,https://github.com/noprompt/meander,Clojure,3198,noprompt,887
https://github.com/clj-commons/etaoin,Clojure,41,https://github.com/clj-commons/etaoin,Clojure,5264,clj-commons,879
https://github.com/mtgred/netrunner,Clojure,163,https://github.com/mtgred/netrunner,Clojure,78140,mtgred,871
https://github.com/aysylu/loom,Clojure,41,https://github.com/aysylu/loom,Clojure,572,aysylu,870
https://github.com/swannodette/lt-cljs-tutorial,Clojure,28,https://github.com/swannodette/lt-cljs-tutorial,Clojure,656,swannodette,864
https://github.com/gigasquid/wonderland-clojure-katas,Clojure,76,https://github.com/gigasquid/wonderland-clojure-katas,Clojure,378,gigasquid,855
https://github.com/reagent-project/reagent-cookbook,Clojure,27,https://github.com/reagent-project/reagent-cookbook,Clojure,1047,reagent-project,839
https://github.com/metasoarous/oz,Clojure,31,https://github.com/metasoarous/oz,Clojure,27789,metasoarous,814
https://github.com/pallet/pallet,Clojure,38,https://github.com/pallet/pallet,Clojure,13561,pallet,805
https://github.com/clojupyter/clojupyter,Clojure,30,https://github.com/clojupyter/clojupyter,Clojure,33186,clojupyter,797
https://github.com/babashka/nbb,Clojure,34,https://github.com/babashka/nbb,Clojure,1817,babashka,791
https://github.com/djblue/portal,Clojure,48,https://github.com/djblue/portal,Clojure,6363,djblue,791
https://github.com/day8/re-com,Clojure,50,https://github.com/day8/re-com,Clojure,5493,day8,785
https://github.com/clj-commons/secretary,Clojure,30,https://github.com/clj-commons/secretary,Clojure,175,clj-commons,775
https://github.com/plumatic/dommy,Clojure,34,https://github.com/plumatic/dommy,Clojure,345,plumatic,758
https://github.com/lambdaisland/kaocha,Clojure,63,https://github.com/lambdaisland/kaocha,Clojure,1619,lambdaisland,756
https://github.com/dakrone/clojure-opennlp,Clojure,22,https://github.com/dakrone/clojure-opennlp,Clojure,33612,dakrone,745
https://github.com/noir-clojure/noir,Clojure,25,https://github.com/noir-clojure/noir,Clojure,780,noir-clojure,742
https://github.com/clojure/java.jdbc,Clojure,22,https://github.com/clojure/java.jdbc,Clojure,2056,clojure,709
https://github.com/ztellman/lamina,Clojure,26,https://github.com/ztellman/lamina,Clojure,4589,ztellman,708
https://github.com/juxt/aero,Clojure,34,https://github.com/juxt/aero,Clojure,247,juxt,703
https://github.com/seancorfield/next-jdbc,Clojure,31,https://github.com/seancorfield/next-jdbc,Clojure,1373,seancorfield,701
https://github.com/nrepl/nrepl,Clojure,80,https://github.com/nrepl/nrepl,Clojure,2364,nrepl,698
https://github.com/mikera/core.matrix,Clojure,63,https://github.com/mikera/core.matrix,Clojure,5147,mikera,693
https://github.com/r0man/sablono,Clojure,23,https://github.com/r0man/sablono,Clojure,675,r0man,691
https://github.com/flosell/lambdacd,Clojure,21,https://github.com/flosell/lambdacd,Clojure,21548,flosell,672
https://github.com/JulianBirch/cljs-ajax,Clojure,78,https://github.com/JulianBirch/cljs-ajax,Clojure,380,JulianBirch,665
https://github.com/bhauman/rebel-readline,Clojure,24,https://github.com/bhauman/rebel-readline,Clojure,396,bhauman,662
https://github.com/clojure/tools.nrepl,Clojure,21,https://github.com/clojure/tools.nrepl,Clojure,839,clojure,662
https://github.com/weavejester/codox,Clojure,33,https://github.com/weavejester/codox,Clojure,585,weavejester,655
https://github.com/clj-pdf/clj-pdf,Clojure,63,https://github.com/clj-pdf/clj-pdf,Clojure,16633,clj-pdf,654
https://github.com/clojure-emacs/cider-nrepl,Clojure,113,https://github.com/clojure-emacs/cider-nrepl,Clojure,3318,clojure-emacs,649
https://github.com/luminus-framework/luminus-template,Clojure,153,https://github.com/luminus-framework/luminus-template,Clojure,2958,luminus-framework,642
https://github.com/borkdude/jet,Clojure,26,https://github.com/borkdude/jet,Clojure,343,borkdude,626
https://github.com/bhauman/figwheel-main,Clojure,61,https://github.com/bhauman/figwheel-main,Clojure,2355,bhauman,626
https://github.com/yogthos/migratus,Clojure,76,https://github.com/yogthos/migratus,Clojure,613,yogthos,617
https://github.com/day8/re-frame-10x,Clojure,55,https://github.com/day8/re-frame-10x,Clojure,18098,day8,616
https://github.com/sorenmacbeth/flambo,Clojure,38,https://github.com/sorenmacbeth/flambo,Clojure,729,sorenmacbeth,607
https://github.com/mjul/docjure,Clojure,35,https://github.com/mjul/docjure,Clojure,592,mjul,603
https://github.com/danielsz/system,Clojure,40,https://github.com/danielsz/system,Clojure,1927,danielsz,603
https://github.com/wilkerlucio/pathom,Clojure,40,https://github.com/wilkerlucio/pathom,Clojure,21669,wilkerlucio,599
https://github.com/puppetlabs/trapperkeeper,Clojure,63,https://github.com/puppetlabs/trapperkeeper,Clojure,1122,puppetlabs,588
https://github.com/weavejester/ragtime,Clojure,32,https://github.com/weavejester/ragtime,Clojure,368,weavejester,588
https://github.com/metosin/spec-tools,Clojure,47,https://github.com/metosin/spec-tools,Clojure,1087,metosin,587
https://github.com/lilactown/helix,Clojure,29,https://github.com/lilactown/helix,Clojure,3461,lilactown,586
https://github.com/clj-commons/pretty,Clojure,25,https://github.com/clj-commons/pretty,Clojure,1687,clj-commons,580
https://github.com/drewr/postal,Clojure,39,https://github.com/drewr/postal,Clojure,261,drewr,578
https://github.com/r0man/cljs-http,Clojure,46,https://github.com/r0man/cljs-http,Clojure,229,r0man,576
https://github.com/day8/re-frame-template,Clojure,56,https://github.com/day8/re-frame-template,Clojure,1232,day8,575
https://github.com/juxt/tick,Clojure,43,https://github.com/juxt/tick,Clojure,3270,juxt,570
