html_url,language,n-contributors,right.html_url,right.language,size,owner,stargazers_count,log-stargazers,log-contributors,log-stargazers-prediction
https://github.com/dakrone/clj-http,Clojure,189,https://github.com/dakrone/clj-http,Clojure,2029,dakrone,1745,7.4645098346365275,5.241747015059643,7.921239200800273
https://github.com/clj-commons/kibit,Clojure,64,https://github.com/clj-commons/kibit,Clojure,458,clj-commons,1744,7.463936604468925,4.1588830833596715,6.970521631922297
https://github.com/taoensso/sente,Clojure,48,https://github.com/taoensso/sente,Clojure,1634,taoensso,1716,7.447751280047908,3.871201010907891,6.717946592229392
https://github.com/marick/Midje,Clojure,54,https://github.com/marick/Midje,Clojure,73003,marick,1677,7.424761761823209,3.9889840465642745,6.8213560770559045
https://github.com/seancorfield/honeysql,Clojure,74,https://github.com/seancorfield/honeysql,Clojure,1240,seancorfield,1660,7.414572881350589,4.30406509320417,7.097986480832255
https://github.com/clj-kondo/clj-kondo,Clojure,165,https://github.com/clj-kondo/clj-kondo,Clojure,13736,clj-kondo,1626,7.3938782901077555,5.10594547390058,7.802010083197344
https://github.com/nextjournal/clerk,Clojure,34,https://github.com/nextjournal/clerk,Clojure,3581,nextjournal,1621,7.390798521735676,3.5263605246161616,6.415188416266054
https://github.com/cgrand/enlive,Clojure,26,https://github.com/cgrand/enlive,Clojure,361,cgrand,1606,7.381501894506707,3.258096538021482,6.1796617931265985
https://github.com/replikativ/datahike,Clojure,77,https://github.com/replikativ/datahike,Clojure,5115,replikativ,1558,7.351158226430694,4.343805421853684,7.1328771328653
https://github.com/bhauman/devcards,Clojure,41,https://github.com/bhauman/devcards,Clojure,7049,bhauman,1524,7.329093736246592,3.713572066704308,6.5795537598235985
https://github.com/fulcrologic/fulcro,Clojure,115,https://github.com/fulcrologic/fulcro,Clojure,18262,fulcrologic,1497,7.311218384419629,4.74493212836325,7.4850526888708595
https://github.com/Factual/drake,Clojure,26,https://github.com/Factual/drake,Clojure,827,Factual,1481,7.300472814267799,3.258096538021482,6.1796617931265985
https://github.com/plumatic/plumbing,Clojure,36,https://github.com/plumatic/plumbing,Clojure,604,plumatic,1480,7.299797366758161,3.58351893845611,6.465371552536487
https://github.com/korma/Korma,Clojure,69,https://github.com/korma/Korma,Clojure,820,korma,1477,7.29776828253138,4.23410650459726,7.036565228045599
https://github.com/dakrone/cheshire,Clojure,62,https://github.com/dakrone/cheshire,Clojure,1038,dakrone,1467,7.2909747781429814,4.127134385045092,6.942647358532017
https://github.com/krisajenkins/yesql,Clojure,25,https://github.com/krisajenkins/yesql,Clojure,303,krisajenkins,1442,7.273786317844895,3.2188758248682006,6.1452273457623665
https://github.com/clj-commons/seesaw,Clojure,43,https://github.com/clj-commons/seesaw,Clojure,2371,clj-commons,1441,7.273092595999522,3.7612001156935624,6.621369561070557
https://github.com/taoensso/timbre,Clojure,70,https://github.com/taoensso/timbre,Clojure,1276,taoensso,1425,7.261927092702751,4.248495242049359,7.049198048374381
https://github.com/clojure/core.logic,Clojure,37,https://github.com/clojure/core.logic,Clojure,3127,clojure,1425,7.261927092702751,3.6109179126442243,6.489426916619934
https://github.com/nathanmarz/cascalog,Clojure,61,https://github.com/nathanmarz/cascalog,Clojure,2416,nathanmarz,1377,7.227662498728654,4.110873864173311,6.928371176253382
https://github.com/metosin/reitit,Clojure,127,https://github.com/metosin/reitit,Clojure,18971,metosin,1350,7.2078598714324755,4.844187086458591,7.572195154047761
https://github.com/metosin/malli,Clojure,124,https://github.com/metosin/malli,Clojure,6786,metosin,1335,7.19668657083435,4.820281565605037,7.551206922744338
https://github.com/noprompt/garden,Clojure,30,https://github.com/noprompt/garden,Clojure,629,noprompt,1328,7.191429330036379,3.4011973816621555,6.305299449149427
https://github.com/facebookarchive/duckling_old,Clojure,79,https://github.com/facebookarchive/duckling_old,Clojure,1639,facebookarchive,1322,7.186901020411631,4.3694478524670215,7.155390311649048
https://github.com/plexus/chestnut,Clojure,59,https://github.com/plexus/chestnut,Clojure,619,plexus,1318,7.183870715062453,4.07753744390572,6.899102937184653
https://github.com/clojure/core.typed,Clojure,23,https://github.com/clojure/core.typed,Clojure,13781,clojure,1277,7.152268856032539,3.1354942159291497,6.072021139313861
https://github.com/originrose/cortex,Clojure,34,https://github.com/originrose/cortex,Clojure,5249,originrose,1268,7.145196134997171,3.5263605246161616,6.415188416266054
https://github.com/Tensegritics/ClojureDart,Clojure,25,https://github.com/Tensegritics/ClojureDart,Clojure,7312,Tensegritics,1261,7.13966033596492,3.2188758248682006,6.1452273457623665
https://github.com/clojure-liberator/liberator,Clojure,54,https://github.com/clojure-liberator/liberator,Clojure,1405,clojure-liberator,1257,7.136483208590247,3.9889840465642745,6.8213560770559045
https://github.com/tolitius/mount,Clojure,29,https://github.com/tolitius/mount,Clojure,1653,tolitius,1210,7.098375638590786,3.367295829986474,6.275535043994944
https://github.com/cemerick/friend,Clojure,37,https://github.com/cemerick/friend,Clojure,276,cemerick,1160,7.05617528410041,3.6109179126442243,6.489426916619934
https://github.com/cerner/clara-rules,Clojure,36,https://github.com/cerner/clara-rules,Clojure,2422,cerner,1160,7.05617528410041,3.58351893845611,6.465371552536487
https://github.com/clojure/core.match,Clojure,22,https://github.com/clojure/core.match,Clojure,1219,clojure,1158,7.05444965813294,3.091042453358316,6.03299400912093
https://github.com/CircleCI-Archived/frontend,Clojure,152,https://github.com/CircleCI-Archived/frontend,Clojure,56398,CircleCI-Archived,1149,7.046647277848756,5.0238805208462765,7.7299598556720905
https://github.com/babashka/sci,Clojure,49,https://github.com/babashka/sci,Clojure,3007,babashka,1130,7.029972911706386,3.8918202981106265,6.736049622561751
https://github.com/taoensso/carmine,Clojure,22,https://github.com/taoensso/carmine,Clojure,2534,taoensso,1130,7.029972911706386,3.091042453358316,6.03299400912093
https://github.com/clojure/test.check,Clojure,35,https://github.com/clojure/test.check,Clojure,1284,clojure,1104,7.00669522683704,3.5553480614894135,6.440638484162059
https://github.com/metosin/compojure-api,Clojure,54,https://github.com/metosin/compojure-api,Clojure,2955,metosin,1100,7.003065458786462,3.9889840465642745,6.8213560770559045
https://github.com/emezeske/lein-cljsbuild,Clojure,69,https://github.com/emezeske/lein-cljsbuild,Clojure,840,emezeske,1096,6.999422467507961,4.23410650459726,7.036565228045599
https://github.com/jonase/eastwood,Clojure,45,https://github.com/jonase/eastwood,Clojure,3648,jonase,1080,6.984716320118266,3.8066624897703196,6.661283973668843
https://github.com/clojure-lsp/clojure-lsp,Clojure,106,https://github.com/clojure-lsp/clojure-lsp,Clojure,31501,clojure-lsp,1079,6.983789965258135,4.663439094112067,7.413504586532512
